block_time,nft_project_name,platform,evt_type,usd_amount,seller,buyer,original_amount,original_currency,block_number,nft_token_id,tx_hash
2022-04-20T05:22:35+00:00,BFF,LooksRare,Trade,5098.863,\x4e16f1461040811e094a3542064c5e035191540b,\x0de0f79d4ff2fd132800652bd3e7e52682b5ebc0,1.65,WETH,14619985,5777,\x7a0fcb6878ebd69981dc4c6530ff5ede83ffd770e7c405ef4d0b928db89ef9f2
2022-04-20T05:23:43+00:00,Terraforms,LooksRare,Trade,1068289.054,\x48ad09ed9a4d3d9b76959f4d53ba0bc138fce336,\x6f124a460e752eddacaa294800908393a3cad980,345.7,WETH,14619989,1865,\x5576985785a1296b7865ed6251ec10e68087133c386473b91875354d4297e350
2022-04-20T05:27:35+00:00,Rubber Duck Bath Party,LooksRare,Trade,108.1143,\xec6770c4367aa1d722892f4d768f150f51246732,\x7c152782553d84bb8b4824c2c3dd81c4b7938783,0.035,WETH,14620004,8392,\x18bd72554ce640fd690aee1646824b4c8f2ca3bd63bdec4bcc7a81665dd2a091
2022-04-20T05:28:18+00:00,Terraforms,LooksRare,Trade,1380774.06,\xa53496b67eec749ac41b4666d63228a0fb0409cf,\xd73e0def01246b650d8a367a4b209be59c8be8ab,447,WETH,14620010,5283,\xf2b7f50028aa7f8a5560771a3d265c2e927fcd02a25ccd2bfe5e9abb7d12c2c7
2022-04-20T05:29:12+00:00,Rich Baby Official,LooksRare,Trade,1544.49,\x26f6b241f495c68d9b45c336b2f2bf51d1b6ab56,\xafc1adbd1fc885d1df330db13b61f2da3ba548a1,0.5,WETH,14620013,617,\x05cc6b701f0f316e845a3ff7c26647324735d954cf7930ff5ddef1fe315f6f26
2022-04-20T05:29:47+00:00,Terraforms,LooksRare,Trade,1352973.24,\xd73e0def01246b650d8a367a4b209be59c8be8ab,\xa53496b67eec749ac41b4666d63228a0fb0409cf,438,WETH,14620016,9728,\xf2fbe2a73570aa53dccec045bf2ef9f786e696b4f5a3f52ba1b226f587ff0d8e
2022-04-20T05:29:56+00:00,Terraforms,LooksRare,Trade,1046546.424,\x6f124a460e752eddacaa294800908393a3cad980,\x48ad09ed9a4d3d9b76959f4d53ba0bc138fce336,338.8,WETH,14620017,1865,\xdf4b4a0d457581183dd694d42a4fc622d747b0b0f29e5552fde4b492d4b3804d
2022-04-20T05:31:01+00:00,MutantApeYachtClub,LooksRare,Trade,95804.9652,\x4e9dd9a380f0cdcfb83c9a62a3d1a9fc7fc108bf,\xd39c7ae9f2bb685f464350df7fde2201e3ba589d,30.99,WETH,14620021,25708,\xa88e938d5a69ce0a6a5f3aaf25310c543e1fc03da5dcadec3dc1ffa156986fa3
2022-04-20T05:32:06+00:00,Terraforms,LooksRare,Trade,1326244.92,\xa53496b67eec749ac41b4666d63228a0fb0409cf,\xd73e0def01246b650d8a367a4b209be59c8be8ab,429,WETH,14620025,9559,\x44b8a39fb304207f71e6f2c357a5d5759de140c3f2d091398c8419058c995f2b
2022-04-20T05:33:03+00:00,Terraforms,LooksRare,Trade,1026680.508,\x48ad09ed9a4d3d9b76959f4d53ba0bc138fce336,\x6f124a460e752eddacaa294800908393a3cad980,332.1,WETH,14620029,1865,\xe214d46b6df56df2dc7bcb5058a4356a0960ec8ddb6eec26a73cc88dd00e2266
