project,version,block_time,block_number,tx_hash,evt_index,borrower,tx_from,asset_address,asset_symbol,token_amount,usd_value
Compound,2,2022-04-20T01:05:27+00:00,14618924,\xbe839fab20cb7d486a3b1641dc1ced8e17bc3f0e0df1fa4280bc5d78e166ed5e,540,\xfe425c1d79b7b6058be1651f453fbe49559b0866,\x52dc01082fc06a78ef3910c101b7823df3277355,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,-1.0621,-3274.751688
Compound,2,2022-04-20T03:29:00+00:00,14619517,\x07365826a1770bc84f736b03878407feaee83f580345a56b83e89313ae2cecf0,207,\xff96b50e8131951561025207a3a4aed2e0f0b7e8,\xff96b50e8131951561025207a3a4aed2e0f0b7e8,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,-5.00006415542954,-15434.3980375461
Compound,2,2022-04-20T03:58:36+00:00,14619639,\xa38d1f3bc4f1fa958bec70cc1965e9dd890095d97164892ed84975e632cfe8b5,76,\x5924495f7118ee588acc19e773c7d17c869b6ef4,\x5924495f7118ee588acc19e773c7d17c869b6ef4,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,-80,-247244.8
Compound,2,2022-04-20T04:09:29+00:00,14619684,\x5b00cc801e8e88c311c4fbfccafe7bee8f0a445a7701e553c7552a2a25bd3186,378,\x49279a7a3e5ad3d5d0ac5d94579b4929c67cc3c4,\x49279a7a3e5ad3d5d0ac5d94579b4929c67cc3c4,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,-0.0100257483256677,-30.9847757154425
Compound,2,2022-04-20T04:18:27+00:00,14619723,\x6527d444293b605045cdb89d1060b15eaedb5c314dab7c614a9d6848d6c2d221,404,\x4cd54281c7a944f1764d0f1dfb4102d13f119a69,\x4cd54281c7a944f1764d0f1dfb4102d13f119a69,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,-5,-15467.3
Compound,2,2022-04-20T04:44:43+00:00,14619823,\xf2669a9ee05dbf2cd135b6bc57ae16a7007450a4a7d9906654e329323c6b5df9,96,\x933258bddd49beeca77f6d1889633c5429af45ea,\x933258bddd49beeca77f6d1889633c5429af45ea,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,-50,-154320
Compound,2,2022-04-20T06:29:57+00:00,14620293,\x0df78a0e8c3c353d0dc59a1ad0ae1f9c1ff637e852bfb3c9fe946df8b3e76d14,86,\x3b96f42780993619e4b47b30387debbc98934220,\x3b96f42780993619e4b47b30387debbc98934220,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,-8,-24795.52
Compound,2,2022-04-20T06:31:03+00:00,14620298,\xed461a15c7338dc9901e478839de451a9efd949c233eeaeb833bffa6846f0317,535,\xfe8260a826dc1f6e606118a2069f564d7a50ae5f,\xfe8260a826dc1f6e606118a2069f564d7a50ae5f,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,-22.7,-70377.491
Compound,2,2022-04-20T07:03:17+00:00,14620453,\x97d268722b46993c3d6eddd426ede7dcab4719f54234d3a2b3c308cb034b4eb7,408,\xfe8260a826dc1f6e606118a2069f564d7a50ae5f,\xfe8260a826dc1f6e606118a2069f564d7a50ae5f,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,-15,-46519.05
Compound,2,2022-04-20T07:49:46+00:00,14620656,\xd4db658535a2cb72620c3eb973b8b573bbdefd0479f60e3d0d906d80c35d1e01,96,\xaa6d99aa695264372c7eb7c00b453fc462799068,\xaa6d99aa695264372c7eb7c00b453fc462799068,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,-0.859129598764239,-2660.1315679497
